[INFO],,,,,,,,,,,
[default-enemy-cooldown],15/15/10/10/10/5/5/0/0/0/3,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
[title],Default Wave 1,,,,,,,,,,
[enemy-cooldown],15/10/10/5/5/3/1,,,,,,,,,,
[reward-ids],resource-research-point=50,,,,,,,,,,
[unlocks],turret=turret-lightweight-bolter,scanner=1,enemy=enemy-crawler-swarm-t1,enemy=enemy-crawler-explosive,enemy=enemy-crawler-t3,enemy=enemy-crawler-t2,enemy=enemy-crawler-swarm-t2,turret=turret-grenadier,turret=turret-railgun,turret=turret-flamer,turret=turret-heater
enemy-crawler-t1,enemy-crawler-t1,enemy-crawler-t1,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
[title],default-wave-2,,,,,,,,,,
[enemy-cooldown],15/10/10/5/5/3/1,,,,,,,,,,
[reward-ids],resource-research-point=100,resource-schematic,,,,,,,,,
,,,,,,,,,,,
enemy-crawler-t1,enemy-crawler-swarm-t1,enemy-crawler-t1,enemy-crawler-t1,,,,,,,,
enemy-crawler-swarm-t1,enemy-crawler-swarm-t1,enemy-crawler-t1,enemy-crawler-t1,,,,,,,,
enemy-crawler-t1,enemy-crawler-swarm-t1,,,,,,,,,,
,,,,,,,,,,,
[title],default-wave-3,,,,,,,,,,
[enemy-cooldown],8/8/9/5/4/2,,,,,,,,,,
[reward-ids],resource-research-point=150,Granaider,Turret Upgrades 1,,,,,,,,
,,,,,,,,,,,
enemy-crawler-t2,<difficulty=tough>,enemy-crawler-t1,<difficulty=weak>,,,,,,,,
<difficulty=weak>,enemy-crawler-t1,enemy-crawler-t2,<difficulty=weak>,,,,,,,,
<difficulty=weak>,<difficulty=weak>,enemy-crawler-t2,<difficulty=tough>,,,,,,,,
<difficulty=tough>,enemy-crawler-t2,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
[title],default-wave-4,,,,,,,,,,
[enemy-cooldown],15/10/10/5/5/3/1,,,,,,,,,,
[reward-ids],resource-research-point=200,,,,,,,,,,
,,,,,,,,,,,
<difficulty=weak>,<difficulty=weak>,<difficulty=weak>,<difficulty=medium>,,,,,,,,
<difficulty=medium>,<difficulty=medium>,<difficulty=weak>,<difficulty=weak>,,,,,,,,
<difficulty=weak>,<difficulty=weak>,<difficulty=medium>,<difficulty=weak>,,,,,,,,
<difficulty=medium>,<difficulty=weak>,<difficulty=medium>,<difficulty=medium>,,,,,,,,
,,,,,,,,,,,
[title],default-wave-5,,,,,,,,,,
[enemy-cooldown],15/10/10/5/5/3/2,,,,,,,,,,
[reward-ids],resource-research-point=300,,,,,,,,,,
,<difficulty=weak>,,<difficulty=weak>,,,,,,,,
<difficulty=weak>,<difficulty=tough>,<difficulty=weak>,<difficulty=weak>,,,,,,,,
,,<difficulty=weak>,<difficulty=weak>,,,,,,,,
<difficulty=weak>,<difficulty=weak>,,<difficulty=medium>,,,,,,,,
<difficulty=medium>,<difficulty=medium>,<difficulty=medium>,<difficulty=medium>,,,,,,,,
