[INFO],,,
[default-enemy-cooldown],15/15/10/10/10/5/5/0/0/0/3,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
[title],Default Wave 1,,
[enemy-cooldown],15/10/10/5/5/3/1,,
[reward-ids],resource-research-point=50,Bolter V2,Basic Upgrades 1
crawler-t1,crawler-t1,crawler-t1,
crawler-t1,crawler-t1,crawler-t1,
,,,
,,,
,,,
[title],default-wave-2,,
[enemy-cooldown],,,
[reward-ids],resource-research-point=100,resource-schematic,
crawler-t1,LarvaSwarmT1,crawler-t1,crawler-t1
LarvaSwarmT1,LarvaSwarmT1,crawler-t1,crawler-t1
crawler-t1,LarvaSwarmT1,,
,,,
,,,
[title],default-wave-3,,
[enemy-cooldown],8/8/9/5/4/2,,
[reward-ids],resource-research-point=150,Granaider,Turret Upgrades 1
crawler-t2,crawler-t1,crawler-t1,<difficulty=weak>
<difficulty=weak>,<difficulty=weak>,crawler-t2,<difficulty=weak>
<difficulty=weak>,crawler-t2,crawler-t2,
,,,
[title],default-wave-4,,
[enemy-cooldown],15/10/10/5/5/3/1,,
[reward-ids],resource-research-point=200,,
<difficulty=weak>,<difficulty=weak>,<difficulty=weak>,<difficulty=medium>
<difficulty=medium>,<difficulty=medium>,<difficulty=weak>,<difficulty=weak>
<difficulty=weak>,<difficulty=weak>,<difficulty=medium>,<difficulty=weak>
<difficulty=medium>,<difficulty=weak>,<difficulty=medium>,<difficulty=medium>
[title],default-wave-5,,
[enemy-cooldown],15/10/10/5/5/3/2,,
[reward-ids],resource-research-point=300,,
LarvaSwarmT2,<difficulty=weak>,crawler-t2,<difficulty=weak>
<difficulty=weak>,LarvaSwarmT2,<difficulty=weak>,<difficulty=weak>
crawler-t2,crawler-t2,<difficulty=weak>,<difficulty=weak>
<difficulty=weak>,<difficulty=weak>,LarvaSwarmT2,<difficulty=medium>
<difficulty=medium>,<difficulty=medium>,<difficulty=medium>,<difficulty=medium>
