[INFO],,
[default-enemy-cooldown],15/15/10/10/10/5/5/0/0/0/3,
,,
,,
,,
,,
,,
,,
,,
,,
[title],Default Wave 1,
[enemy-cooldown],15/10/10/5/5/3/1,
[reward-ids],resource-research-point=30,research-point=ciguli
enemy-test,enemy-test,<difficulty=weak>
<difficulty=weak>,<range=melee>,<type=durable>
<difficulty=weak>,<difficulty=weak>,<difficulty=weak>
<difficulty=weak>,<difficulty=weak>,<difficulty=weak>
,,
[title],default-wave-2,
[enemy-cooldown],,
[reward-ids],resource-research-point=50,hihihiha
enemy-test,crawler,<difficulty=weak>
<difficulty=weak>,,<type=durable>
,,<difficulty=weak>
<difficulty=weak>,<difficulty=weak>,
,,
[title],default-wave-3,
[enemy-cooldown],8/8/9/5/4/2,
[reward-ids],resource-iron=24,resource-research-point=100
crawlerSmall,enemy-test,<difficulty=weak>
<difficulty=weak>,<range=melee>,<type=durable>
<difficulty=weak>,<difficulty=weak>,
,,
[title],default-wave-3,
[enemy-cooldown],15/10/10/5/5/3/1,
,,
crawlerSmall,enemy-test,<difficulty=weak>
<difficulty=weak>,<range=melee>,<type=durable>
<difficulty=weak>,<difficulty=weak>,
